grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;-1;Conhecimento;202301;6;3;0;18;6;3;0;18
G1;-1;Execução Judicial;202301;0;0;0;0;0;0;0;0
G1;-1;Execução Judicial;202302;9;0;0;0;9;0;0;0
G1;-1;Conhecimento;202302;94;0;0;16;100;3;0;34
G1;-1;Conhecimento;202303;43;0;0;83;143;3;0;117
G1;-1;Execução Judicial;202303;1;0;0;0;10;0;0;0
G1;-1;Conhecimento;202304;89;0;0;45;232;3;0;162
G1;-1;Execução Judicial;202304;1;0;0;0;11;0;0;0
G1;-1;Conhecimento;202305;32;0;0;25;264;3;0;187
G1;-1;Execução Judicial;202305;4;0;0;0;15;0;0;0
G1;-1;Execução Judicial;202306;5;0;0;0;20;0;0;0
G1;-1;Conhecimento;202306;18;0;0;16;282;3;0;203
G1;-1;Execução Judicial;202307;0;0;0;0;20;0;0;0
G1;-1;Conhecimento;202307;23;5;3;22;305;8;3;225
G1;-1;Execução Judicial;202308;3;0;0;0;23;0;0;0
G1;-1;Conhecimento;202308;9;1;0;110;314;9;3;335
G1;-1;Conhecimento;202309;64;0;0;106;378;9;3;441
G1;-1;Execução Judicial;202309;6;0;0;0;29;0;0;0
G1;-1;Conhecimento;202310;146;2;0;122;524;11;3;563
G1;-1;Execução Judicial;202310;1;0;0;0;30;0;0;0
G1;-1;Execução Judicial;202311;4;0;0;0;34;0;0;0
G1;-1;Conhecimento;202311;112;0;0;97;636;11;3;660
G1;-1;Execução Judicial;202312;2;0;0;0;36;0;0;0
G1;-1;Conhecimento;202312;47;0;0;49;683;11;3;709
G1;-1;Execução Judicial;202401;3;0;0;0;39;0;0;0
G1;-1;Conhecimento;202401;29;2;0;61;706;10;3;752
G1;-1;Execução Judicial;202402;1;0;0;0;31;0;0;0
G1;-1;Conhecimento;202402;32;3;2;77;644;13;5;813
G1;-1;Execução Judicial;202403;0;0;0;0;30;0;0;0
G1;-1;Conhecimento;202403;166;0;0;70;767;13;5;800
G1;-1;Execução Judicial;202404;2;0;0;0;31;0;0;0
G1;-1;Conhecimento;202404;973;1;1;179;1651;14;6;934
G1;-1;Execução Judicial;202405;2;0;0;0;29;0;0;0
G1;-1;Conhecimento;202405;176;2;0;106;1795;16;6;1015
G1;-1;Conhecimento;202406;213;3;0;184;1990;19;6;1183
G1;-1;Execução Judicial;202406;5;0;0;0;29;0;0;0
G1;-1;Execução Judicial;202407;0;0;0;0;29;0;0;0
G1;-1;Conhecimento;202407;124;5;1;131;2091;19;4;1292
G1;-1;Execução Judicial;202408;2;0;0;0;28;0;0;0
G1;-1;Conhecimento;202408;133;3;0;188;2215;21;4;1370
G1;-1;Execução Judicial;202409;0;0;0;0;22;0;0;0
G1;-1;Conhecimento;202409;223;3;2;180;2374;24;6;1444
G1;-1;Conhecimento;202410;141;1;1;120;2369;23;7;1442
G1;-1;Execução Judicial;202410;0;0;0;0;21;0;0;0
G1;-1;Execução Judicial;202411;9;0;0;0;26;0;0;0
G1;-1;Conhecimento;202411;129;2;2;121;2386;25;9;1466
G1;-1;Conhecimento;202412;122;1;1;101;2461;26;10;1518
G1;-1;Execução Judicial;202412;0;0;0;0;24;0;0;0
G1;-1;Execução Judicial;202501;24;0;0;0;45;0;0;0
G1;-1;Conhecimento;202501;101;1;0;98;2533;25;10;1555
G1;-1;Conhecimento;202502;90;2;0;57;2591;24;8;1535
