id_processo;numero;grau;classe;id_classe;nome_natureza;id_orgao_julgador;nome_orgao_julgador;nome_municipio;id_assunto;flg_juizo_100_digital;flg_nucleo_4;dt_evento;var;sistema
203518008;;G1;Inventário;39;Conhecimento Não Criminal;36360010801;Vara de Registros Públicos Órfãos e Sucessões e de Cartas Precatórias Cíveis de Rio Branco;RIO BRANCO;;Não;Não;2025-10-15 00:00:00;Pendentes;EPROC
203547437;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;743020220001;Vara Única - Cível de Porto Acre;PORTO ACRE;;Não;Não;2025-10-24 00:00:00;Pendentes;SAJ
203607799;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;81550140001;Vara Cível de Tarauacá;TARAUACA;;Não;Não;2026-03-20 00:00:00;Casos Novos;EPROC
203485504;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36390700003;1º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-01-26 00:00:00;Casos Novos;EPROC
203485504;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36390700003;1º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-03-05 00:00:00;Julgados;EPROC
203582772;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81520120001;Vara Única - Cível de Manoel Urbano;MANOEL URBANO;;Não;Não;2026-06-18 00:00:00;Casos Novos;EPROC
203581867;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;81490060001;Vara Única - Cível de Acrelândia;ACRELÂNDIA;;Não;Não;2024-12-16 00:00:00;Pendentes;SAJ
203582057;;G1;Pedido de Medida de Proteção;12070;Conhecimento Não Criminal;170500080001;Vara Única - Cível de Plácido de Castro;PLACIDO DE CASTRO;;Não;Não;2026-06-17 00:00:00;Casos Novos;EPROC
203601589;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-06-17 00:00:00;Casos Novos;EPROC
203517711;;G1;Homologação da Transação Extrajudicial;12374;Conhecimento Não Criminal;888690140008;Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Tarauacá;TARAUACA;;Não;Não;2026-02-03 00:00:00;Julgados;EPROC
203489368;;G1;Ação Civil Pública;65;Conhecimento Não Criminal;36320010601;1ª Vara da Fazenda Pública de Rio Branco;RIO BRANCO;;Não;Não;2026-02-04 00:00:00;Julgados;EPROC
203481018;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;335470170003;Vara Única - Juizado Especial Cível de Rodrigues Alves;RODRIGUES ALVES;;Não;Não;2026-02-03 00:00:00;Julgados;EPROC
203603017;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36130020002;2ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-04-17 00:00:00;Casos Novos;EPROC
203525455;;G1;Usucapião;49;Conhecimento Não Criminal;36220010202;2ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2023-11-14 00:00:00;Pendentes;SAJ
203527938;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;911689012311;Gabinete do Juiz de Direito Clovis de Souza Lodi;RIO BRANCO;;Não;Não;2026-05-22 00:00:00;Julgados;SAJ
203543668;;G1;Interdição/Curatela;58;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-05-05 00:00:00;Julgados;SAJ
203594437;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;170490040001;Vara Única - Cível de Epitaciolândia;EPITACIOLANDIA;;Não;Não;2026-06-16 00:00:00;Julgados;SAJ
203616097;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2026-06-19 00:00:00;Casos Novos;EPROC
203588832;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36300010701;1ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-06-12 00:00:00;Casos Novos;EPROC
203500426;;G1;Pedido de Busca e Apreensão Criminal;309;Conhecimento Criminal;743000020015;Vara de Proteção à Mulher e Execuções Penais de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2025-08-13 00:00:00;Pendentes;SAJ
203570604;;G1;Ação Civil Pública;65;Conhecimento Não Criminal;36330010602;2ª Vara de Fazenda Pública de Rio Branco;RIO BRANCO;;Não;Não;2011-06-27 00:00:00;Pendentes;SAJ
203548249;;G1;Alvará Judicial - Lei 6858/80;74;Conhecimento Não Criminal;743020220001;Vara Única - Cível de Porto Acre;PORTO ACRE;;Não;Não;2025-10-15 00:00:00;Pendentes;SAJ
203614143;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81520120001;Vara Única - Cível de Manoel Urbano;MANOEL URBANO;;Não;Não;2023-12-18 00:00:00;Pendentes;SAJ
203577761;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-03-19 00:00:00;Casos Novos;EPROC
